高松高校,普通,70
高松第一高校,普通,69
丸亀高校,普通,68
大手前高松高,栄ＳＳ,私,67
大手前高松高,栄進Ｓ,私,65
三木高校,文理,64
香川高等専門学高松,機,63
香川高等専門学高松,電,63
香川高等専門学高松,機,63
香川高等専門学高松,建,63
観音寺第一高校,理数,62
観音寺第一高校,普通,62
大手前高校,普通,私,61
香川誠陵高校,普通,私,61
香川高等専門学詫間,通,61
香川高等専門学詫間,電,61
香川高等専門学詫間,情,61
高松西高校,普通,61
高松商業高校,英実務,61
英明高校,特進,私,60
坂出高校,普通,60
高松桜井高校,普通,60
高松商業高校,情報数理,58
藤井高校,ユリーカ,私,57
三木高校,総合,57
英明高校,進学Ⅰ,私,56
大手前高松高校,特Ａ,私,56
高松商業高校,商業,55
尽誠学園高校,特進,私,54
高松北高校,普通,54
高松工芸高校,美術,54
香川中央高校,普通,53
三本松高校,理数,53
三本松高校,普通,53
善通寺第一高校,普通,53
高松中央高校,特進,私,53
高松第一高校,音楽,53
英明高校,進学Ⅱ,私,52
香川西高校,特進,私,52
観音寺中央高校,普通,52
坂出第一高校,特進,私,52
高瀬高校,普通,52
高松工芸高校,工芸,52
高松工芸高校,デザイン,52
高松工芸高校,機械,52
高松工芸高校,工業化学,52
高松工芸高校,建築,52
高松工芸高校,電気,52
大手前高松高校,特Ⅴ,私,51
坂出高校,音楽,51
飯山高校,看護,51
高松南高校,普通,50
高松南高校,看護,50
丸亀城西高校,普通,50
高松東高校,普通,49
藤井高校,特進,私,49
英明高校,進学Ⅱ,私,48
坂出商業高校,商業,47
坂出商業高校,情報,47
志度高校,電子機械,47
志度高校,情報科学,47
高松南高校,生活デザ,47
高松南高校,福祉,47
高松南高校,環境化学,47
高松中央高校,進学,私,47
琴平高校,普通,46
琴平高校,普通,46
尽誠学園高校,進学,私,46
志度高校,商業,46
坂出工業高校,機械,45
坂出工業高校,電気,45
坂出工業高校,化学工学,45
坂出工業高校,建築,45
尽誠学園高校,衛生看,私,45
善通寺第一高校,デザ,45
津田高校,普通,45
三豊工業高校,機械,45
三豊工業高校,電気,45
三豊工業高校,電子,45
坂出第一高校,進学,私,44
坂出第一高校,進学,私,44
小豆島高校,普通,44
多度津高校,工業,44
土庄高校,普通,44
飯山高校,総合,43
藤井高校,グロー,私,43
英明高校,総合,私,42
笠田高校,農業,42
笠田高校,家庭,42
笠田高校,農業,42
笠田高校,家庭,42
藤井学園寒川高校,看,私,42
香川西高校,衛生看護,私,41
多度津高校,水産,41
石田高校,生産経済,40
石田高校,園芸デザイン,40
石田高校,農業土木,40
石田高校,家政,40
尽誠学園高校,体育,私,40
尽誠学園高校,教養,私,40
尽誠学園高校,商業,私,40
農業経営高校,農業,40
藤井高校,商業,私,40
藤井学園寒川高,総合,私,40
藤井学園寒川高,スポ,私,40
香川西高校,進学,私,39
香川西高校,体育,私,39
香川西高校,総合,私,39
香川西高校,商業,私,39
坂出第一高校,総合,私,39
坂出第一高校,食物,私,39
坂出第一高校,ファッショ,私,39
高松中央高校,総合進学,私,39
高松中央高校,商業,私,39
 